Year,Q1,Q2,Q3,Q4,citymarketid_1,citymarketid_2,city1,city2,fare1,fare2,fare3,fare4
2010,1,2,3,4,34262,32457,"Palm Springs, CA","San Francisco, CA (Metropolitan Area)",139.88,135.26,135.3,147.52
2005,1,2,3,4,31066,32457,"Columbus, OH","San Francisco, CA (Metropolitan Area)",224.69,225.31,216.89,209.84
1997,1,2,3,4,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",238.78,219.98,221.57,226.53
2013,1,2,3,4,32211,33256,"Las Vegas, NV","Mission/McAllen/Edinburg, TX",143.78,123.54,149.85,144.63
1996,1,2,3,4,33198,31454,"Kansas City, MO","Orlando, FL",173.45,159.8,167.71,133.55
2000,1,2,3,4,30397,30852,"Atlanta, GA (Metropolitan Area)","Washington, DC (Metropolitan Area)",152.84,159.18,171.91,184.92
2006,1,2,3,4,34057,33192,"Portland, OR","Sacramento, CA",98.18,101.0,102.76,98.38
2009,1,2,3,4,34570,30559,"Reno, NV","Seattle, WA",118.06,124.94,138.86,140.78
2008,1,2,3,4,31066,30325,"Columbus, OH","Denver, CO",233.14,233.01,256.25,248.93
2006,1,2,3,4,31703,34685,"New York City, NY (Metropolitan Area)","Savannah, GA",190.4,227.06,200.22,194.66
2000,1,2,3,4,30977,33044,"Chicago, IL","Louisville, KY",95.73,96.25,97.05,94.15
1997,1,2,3,4,30189,31703,"Colorado Springs, CO","New York City, NY (Metropolitan Area)",147.94,144.32,169.44,204.94
2002,1,2,3,4,33044,33195,"Louisville, KY","Tampa, FL (Metropolitan Area)",105.36,120.82,108.65,130.25
2012,1,2,3,4,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",174.61,228.09,226.06,221.01
2007,1,2,3,4,32575,34614,"Los Angeles, CA (Metropolitan Area)","Salt Lake City, UT",129.73,133.28,136.38,135.24
2004,1,2,3,4,30529,31453,"Hartford, CT","Houston, TX",237.64,225.83,215.59,205.44
2011,1,2,3,4,30325,30436,"Denver, CO","Tucson, AZ",119.74,114.62,109.24,198.18
2011,1,2,3,4,32211,30852,"Las Vegas, NV","Washington, DC (Metropolitan Area)",260.46,273.3,273.57,282.71
2007,1,2,3,4,31066,30194,"Columbus, OH","Dallas/Fort Worth, TX",190.6,194.67,184.83,175.05
1998,1,2,3,4,30977,33667,"Chicago, IL","Norfolk, VA (Metropolitan Area)",256.49,220.89,204.66,202.61
2012,1,2,3,4,31453,33158,"Houston, TX","Midland/Odessa, TX",193.41,191.25,186.09,198.53
2005,1,2,3,4,30194,32600,"Dallas/Fort Worth, TX","Little Rock, AR",90.44,91.17,90.9,95.97
1999,1,2,3,4,32467,30198,"Miami, FL (Metropolitan Area)","Pittsburgh, PA",169.91,170.31,163.65,173.86
2010,1,2,3,4,31295,31454,"Detroit, MI","Orlando, FL",136.22,130.25,109.37,121.88
2006,1,2,3,4,31703,34492,"New York City, NY (Metropolitan Area)","Raleigh/Durham, NC",189.1,200.69,133.97,120.58
2003,1,2,3,4,31057,34100,"Charlotte, NC","Philadelphia, PA",309.36,308.77,321.56,286.67
2007,1,2,3,4,30599,32575,"Birmingham, AL","Los Angeles, CA (Metropolitan Area)",208.23,235.77,238.41,231.34
2005,1,2,3,4,30194,33342,"Dallas/Fort Worth, TX","Milwaukee, WI",153.52,168.67,158.24,163.22
1996,1,2,3,4,30977,30189,"Chicago, IL","Colorado Springs, CO",109.99,122.31,118.8,107.61
1998,1,2,3,4,30140,33214,"Albuquerque, NM","San Antonio, TX",131.59,132.93,149.6,150.23
1997,1,2,3,4,30397,30189,"Atlanta, GA (Metropolitan Area)","Colorado Springs, CO",143.95,151.03,170.57,176.27
2013,1,2,3,4,31066,30194,"Columbus, OH","Dallas/Fort Worth, TX",234.29,249.88,247.82,221.32
2012,1,2,3,4,31423,32211,"Des Moines, IA","Las Vegas, NV",173.42,173.23,160.47,157.31
2003,1,2,3,4,30721,34576,"Boston, MA (Metropolitan Area)","Rochester, NY",199.38,214.84,213.56,206.04
